date,TRIMP,distance_km,duree_min,fc_moyenne,vitesse_moy,cadence_moy,CTL,ATL,TSB,semaine,annee
2024-07-18,0.0,0.0,0.0,,,,3.5,0.0,3.5,29,2024
2024-07-19,0.0,0.0,0.0,,,,3.34,0.0,3.34,29,2024
2024-07-20,0.0,0.0,0.0,,,,3.19,0.0,3.19,29,2024
2024-07-21,0.0,0.0,0.0,,,,3.04,0.0,3.04,29,2024
2024-07-22,0.0,0.0,0.0,,,,2.9,0.0,2.9,30,2024
2024-07-23,0.0,0.0,0.0,,,,2.76,0.0,2.76,30,2024
2024-07-24,0.0,0.0,0.0,,,,2.63,0.0,2.63,30,2024
2024-07-25,0.0,0.0,0.0,,,,2.51,0.0,2.51,30,2024
2024-07-26,0.0,0.0,0.0,,,,2.39,0.0,2.39,30,2024
2024-07-27,0.0,0.0,0.0,,,,2.28,0.0,2.28,30,2024
2024-07-28,0.0,0.0,0.0,,,,2.18,0.0,2.18,30,2024
2024-07-29,0.0,0.0,0.0,,,,2.08,0.0,2.08,31,2024
2024-07-30,0.0,0.0,0.0,,,,1.98,0.0,1.98,31,2024
2024-07-31,0.0,0.0,0.0,,,,1.89,0.0,1.89,31,2024
2024-08-01,0.0,0.0,0.0,,,,1.8,0.0,1.8,31,2024
2024-08-02,0.0,0.0,0.0,,,,1.72,0.0,1.72,31,2024
2024-08-03,0.0,0.0,0.0,,,,1.64,0.0,1.64,31,2024
2024-08-04,0.0,0.0,0.0,,,,1.56,0.0,1.56,31,2024
2024-08-05,0.0,0.0,0.0,,,,1.49,0.0,1.49,32,2024
2024-08-06,0.0,0.0,0.0,,,,1.42,0.0,1.42,32,2024
2024-08-07,0.0,0.0,0.0,,,,1.35,0.0,1.35,32,2024
2024-08-08,0.0,0.0,0.0,,,,1.29,0.0,1.29,32,2024
2024-08-09,0.0,0.0,0.0,,,,1.23,0.0,1.23,32,2024
2024-08-10,0.0,0.0,0.0,,,,1.17,0.0,1.17,32,2024
2024-08-11,0.0,0.0,0.0,,,,1.12,0.0,1.12,32,2024
2024-08-12,0.0,0.0,0.0,,,,1.07,0.0,1.07,33,2024
2024-08-13,0.0,0.0,0.0,,,,1.02,0.0,1.02,33,2024
2024-08-14,0.0,0.0,0.0,,,,0.97,0.0,0.97,33,2024
2024-08-15,0.0,0.0,0.0,,,,0.92,0.0,0.92,33,2024
2024-08-16,0.0,0.0,0.0,,,,0.88,0.0,0.88,33,2024
2024-08-17,0.0,0.0,0.0,,,,0.84,0.0,0.84,33,2024
2024-08-18,0.0,0.0,0.0,,,,0.8,0.0,0.8,33,2024
2024-08-19,0.0,0.0,0.0,,,,0.76,0.0,0.76,34,2024
2024-08-20,0.0,0.0,0.0,,,,0.73,0.0,0.73,34,2024
2024-08-21,0.0,0.0,0.0,,,,0.69,0.0,0.69,34,2024
2024-08-22,0.0,0.0,0.0,,,,0.66,0.0,0.66,34,2024
2024-08-23,0.0,0.0,0.0,,,,0.63,0.0,0.63,34,2024
2024-08-24,0.0,0.0,0.0,,,,0.6,0.0,0.6,34,2024
2024-08-25,0.0,0.0,0.0,,,,0.57,0.0,0.57,34,2024
2024-08-26,0.0,0.0,0.0,,,,0.55,0.0,0.55,35,2024
2024-08-27,0.0,0.0,0.0,,,,0.52,0.0,0.52,35,2024
2024-08-28,0.0,0.0,0.0,,,,0.5,0.0,0.5,35,2024
2024-08-29,0.0,0.0,0.0,,,,0.47,0.0,0.47,35,2024
2024-08-30,0.0,0.0,0.0,,,,0.45,0.0,0.45,35,2024
2024-08-31,0.0,0.0,0.0,,,,0.43,0.0,0.43,35,2024
2024-09-01,0.0,0.0,0.0,,,,0.41,0.0,0.41,35,2024
2024-09-02,0.0,0.0,0.0,,,,0.39,0.0,0.39,36,2024
2024-09-03,0.0,0.0,0.0,,,,0.37,0.0,0.37,36,2024
2024-09-04,0.0,0.0,0.0,,,,0.36,0.0,0.36,36,2024
2024-09-05,0.0,0.0,0.0,,,,0.34,0.0,0.34,36,2024
2024-09-06,0.0,0.0,0.0,,,,0.32,0.0,0.32,36,2024
2024-09-07,9.28,1.022,14.7,111.66176470588236,5.714711764705883,60.08660130718954,0.74,2.32,-1.58,36,2024
2024-09-07,7.43,1.671,8.516666666666667,123.07042253521126,13.099259154929578,,1.05,3.6,-2.55,36,2024
2024-09-08,0.0,0.0,0.0,,,,1.0,2.7,-1.7,36,2024
2024-09-09,0.0,0.0,0.0,,,,0.96,2.02,-1.06,37,2024
2024-09-10,53.21,4.774,21.633333333333333,165.90993071593533,14.405212933025403,78.27602158828064,3.39,14.82,-11.43,37,2024
2024-09-10,35.09,4.9675,24.48333333333333,142.49591836734697,11.881579591836736,80.578231292517,4.86,19.89,-15.03,37,2024
2024-09-11,0.0,0.0,0.0,,,,4.63,14.92,-10.29,37,2024
2024-09-12,53.03,7.4945,46.45,133.3307001795332,9.493555475763015,79.49299820466787,6.89,24.44,-17.55,37,2024
2024-09-13,70.58,8.8895,39.56666666666667,151.71783876500857,13.875312349914235,79.60920034393808,9.85,35.98,-26.13,37,2024
2024-09-14,0.0,0.0,0.0,,,,9.39,26.98,-17.59,37,2024
2024-09-15,13.66,2.67159,13.683333333333334,128.1363073110285,11.452804460966544,,9.59,23.65,-14.06,37,2024
2024-09-16,0.0,0.0,0.0,,,,9.14,17.74,-8.6,38,2024
2024-09-17,97.54,15.017,61.9,146.44602960969044,14.435438923283984,81.16275936405282,13.25,37.69,-24.44,38,2024
2024-09-18,0.0,0.0,0.0,,,,12.64,28.27,-15.63,38,2024
2024-09-19,17.11,8.58,64.61666666666666,86.3262432594368,9.189779748352308,8.25256537570341,12.85,25.48,-12.63,38,2024
2024-09-20,0.0,0.0,0.0,,,,12.25,19.11,-6.86,38,2024
2024-09-21,0.0,0.0,0.0,,,,11.68,14.33,-2.65,38,2024
2024-09-22,0.0,0.0,0.0,,,,11.14,10.75,0.39,38,2024
2024-09-23,158.86,14.5685,59.86666666666667,169.37346711259755,14.509504013377928,81.44078212290503,18.01,47.78,-29.77,39,2024
2024-09-24,0.0,0.0,0.0,,,,17.17,35.83,-18.66,39,2024
2024-09-25,0.0,0.0,0.0,,,,16.37,26.87,-10.5,39,2024
2024-09-26,34.7,11.572,103.43333333333334,92.41712275215012,8.038579046129788,7.992138364779874,17.22,28.83,-11.61,39,2024
2024-09-27,73.61,7.5975,43.56666666666667,149.3927342256214,10.453214684512428,80.54117196476446,19.85,40.03,-20.18,39,2024
2024-09-28,101.96,9.5775,34.4,174.4881355932203,16.507659661016948,85.79524502668608,23.66,55.51,-31.85,39,2024
2024-09-28,22.32,2.471,13.133333333333333,149.63466666666667,12.0874944,81.6970509383378,23.6,47.21,-23.61,39,2024
2024-09-29,0.0,0.0,0.0,,,,22.5,35.41,-12.91,39,2024
2024-09-30,0.0,0.0,0.0,,,,21.46,26.56,-5.1,40,2024
2024-10-01,69.0,7.568,33.03333333333333,158.59929078014184,14.521313069908814,81.19593908629442,23.67,37.17,-13.5,40,2024
2024-10-02,0.0,0.0,0.0,,,,22.57,27.88,-5.31,40,2024
2024-10-03,0.0,0.0,0.0,,,,21.52,20.91,0.61,40,2024
2024-10-04,29.0,3.0895,19.166666666666668,144.74543874891398,9.66263145091225,80.08282476024411,21.87,22.93,-1.06,40,2024
2024-10-05,0.0,0.0,0.0,,,,20.85,17.2,3.65,40,2024
2024-10-06,0.0,0.0,0.0,,,,19.88,12.9,6.98,40,2024
2024-10-07,147.59,15.032,64.46666666666667,162.67743602998192,13.899577668648227,81.77412677878395,25.82,46.57,-20.75,41,2024
2024-10-08,0.0,0.0,0.0,,,,24.62,34.93,-10.31,41,2024
2024-10-09,85.19,14.885,59.96666666666667,142.1333703806613,14.771346151708808,83.178859527121,27.44,47.49,-20.05,41,2024
2024-10-10,104.03,9.3535,43.98333333333333,164.14496418036242,13.868034386852086,82.25200168563,31.0,61.63,-30.63,41,2024
2024-10-11,0.0,0.0,0.0,,,,29.56,46.22,-16.66,41,2024
2024-10-12,0.0,0.0,0.0,,,,28.18,34.67,-6.49,41,2024
2024-10-13,117.57,19.862,69.63333333333334,149.36396267049534,17.104723330940416,84.08862275449101,32.34,55.39,-23.05,41,2024
2024-10-14,0.0,0.0,0.0,,,,30.84,41.54,-10.7,42,2024
2024-10-15,0.0,0.0,0.0,,,,29.4,31.16,-1.76,42,2024
2024-10-16,0.0,0.0,0.0,,,,28.03,23.37,4.66,42,2024
2024-10-17,0.0,0.0,0.0,,,,26.73,17.53,9.2,42,2024
2024-10-18,120.48,15.763,74.93333333333334,147.29287003610108,12.71973736462094,83.72583559168925,31.09,43.26,-12.17,42,2024
2024-10-19,0.0,0.0,0.0,,,,29.64,32.45,-2.81,42,2024
2024-10-20,0.0,0.0,0.0,,,,28.27,24.34,3.93,42,2024
2024-10-21,0.0,0.0,0.0,,,,26.95,18.25,8.7,43,2024
2024-10-22,0.0,0.0,0.0,,,,25.7,13.69,12.01,43,2024
2024-10-23,0.0,0.0,0.0,,,,24.5,10.27,14.23,43,2024
2024-10-24,0.0,0.0,0.0,,,,23.36,7.7,15.66,43,2024
2024-10-25,0.0,0.0,0.0,,,,22.28,5.78,16.5,43,2024
2024-10-26,0.0,0.0,0.0,,,,21.24,4.33,16.91,43,2024
2024-10-27,0.0,0.0,0.0,,,,20.25,3.25,17.0,43,2024
2024-10-28,0.0,0.0,0.0,,,,19.31,2.44,16.87,44,2024
2024-10-29,0.0,0.0,0.0,,,,18.41,1.83,16.58,44,2024
2024-10-30,0.0,0.0,0.0,,,,17.56,1.37,16.19,44,2024
2024-10-31,0.0,0.0,0.0,,,,16.74,1.03,15.71,44,2024
2024-11-01,92.35,8.895,38.2,165.1330135194069,13.889616397732228,84.42769768457842,20.26,23.86,-3.6,44,2024
2024-11-02,0.0,0.0,0.0,,,,19.31,17.89,1.42,44,2024
