session_file,date,distance_km,duree_min,fc_moyenne,fc_max,vitesse_moy,cadence_moy,allure_min_km,month_year
463725632054919168.fit,2024-09-28,9.5775,34.4,174.48813559322033,183.0,16.507659661016948,85.79524502668608,3.634676340080525,2024-09
463799922372673536.fit,2024-10-01,7.568,33.03333333333333,158.59929078014184,183.0,14.521313069908814,81.19593908629442,4.131857753575502,2024-10
463871260437282819.fit,2024-10-04,3.0895,19.166666666666668,144.74543874891398,152.0,9.66263145091225,80.08282476024411,6.209488616512989,2024-10
463937026587131905.fit,2024-10-07,15.032,64.46666666666667,162.67743602998192,184.0,13.899577668648229,81.77412677878395,4.316677918591404,2024-10
463984094059986947.fit,2024-10-09,14.885,59.96666666666667,142.1333703806613,171.0,14.771346151708808,83.178859527121,4.061918215426761,2024-10
464012661766520832.fit,2024-10-10,9.3535,43.983333333333334,164.14496418036242,184.0,13.868034386852086,82.25200168563,4.3264963387229844,2024-10
464073324421480454.fit,2024-10-13,19.862,69.63333333333334,149.36396267049534,173.0,17.104723330940416,84.08862275449101,3.5078030108483027,2024-10
464194632283095045.fit,2024-10-18,15.763,74.93333333333334,147.29287003610108,169.0,12.71973736462094,83.72583559168925,4.717078527649934,2024-10
464523969303707651.fit,2024-11-01,8.895,38.2,165.1330135194069,178.0,13.889616397732228,84.42769768457842,4.319773727501666,2024-11
464563241945694223.fit,2024-11-03,2.226,10.633333333333333,129.31611893583724,163.0,12.199571830985915,84.26760563380282,4.918205395340589,2024-11
464643160551751682.fit,2024-11-06,14.118,56.86666666666667,170.11719894520948,184.0,14.697612305889246,84.65180404810795,4.082295732889781,2024-11
464783237686788103.fit,2024-11-12,8.1835,40.1,152.22517656834233,165.0,12.128881595346906,83.78984602580108,4.946869958976123,2024-11
464862357695266817.fit,2024-11-16,4.0465,21.566666666666666,136.88957528957528,152.0,11.115432277992278,84.2594887683966,5.39790072931266,2024-11
464885895458226178.fit,2024-11-17,9.999,33.13333333333333,144.50477626948216,176.0,17.880128506787333,86.78639798488665,3.355680580104549,2024-11
464921859098443780.fit,2024-11-18,6.7335,30.566666666666666,154.16694584031268,168.0,13.418028140703518,82.61920714684534,4.471595928316048,2024-11
464935899346534403.fit,2024-11-19,9.96,41.93333333333333,149.29678188319429,164.0,14.137610488676996,83.35972940708317,4.243998662154033,2024-11
464984087002644480.fit,2024-11-21,8.195,35.9,159.04686774941996,177.0,13.590076844547564,84.24779172477918,4.414986073023747,2024-11
465235813691588612.fit,2024-12-02,13.236,57.15,166.2422543523163,178.0,13.942592859250517,83.74210681616997,4.303360257715027,2024-12
465540384060112901.fit,2024-12-15,4.3865,24.0,154.02172284644195,167.0,12.029786966292136,80.81968444778362,4.987619495517419,2024-12
465541304527388675.fit,2024-12-15,10.1705,33.43333333333333,160.12107623318386,185.0,18.090211659192825,85.98252621068397,3.316710778754767,2024-12
465570807999922180.fit,2024-12-16,13.652,49.1,144.36952833389887,157.0,13.15157692568714,83.43298269426535,4.562190552435608,2024-12
465724414013505540.fit,2024-12-23,10.444,51.6,152.686911334849,177.0,12.21790074699578,83.51073519843851,4.910827256045046,2024-12
465732870804111364.fit,2024-12-23,9.507,45.06666666666667,152.1414814814815,165.0,12.649648,84.00519287833828,4.743214989065309,2024-12
465755757881622531.fit,2024-12-24,11.5385,53.733333333333334,156.1767441860465,182.0,12.865629767441861,83.81496429680223,4.6635882645898725,2024-12
465769442182201354.fit,2024-12-25,9.1175,39.1,166.7635279079676,183.0,13.82374537707712,83.8625693555271,4.340357722408103,2024-12
465826304327974912.fit,2024-12-27,9.264,45.56666666666667,154.4845701689934,175.0,12.183014988978691,81.78623988226637,4.9248892867881,2024-12
466074694903169040.fit,2025-01-07,4.0185,17.1,159.3622200584226,172.0,13.790727166504382,83.1209756097561,4.350749548996303,2025-01
466142766376714243.fit,2025-01-10,10.1225,49.9,141.51311754684838,165.0,12.4413865758092,81.80450358239509,4.822613591692655,2025-01
466163854129266689.fit,2025-01-11,7.097,30.633333333333333,166.37692307692308,186.0,14.042375604395604,83.51156387665198,4.272781307830745,2025-01
466189092969807878.fit,2025-01-12,8.1625,30.433333333333334,169.27640941434043,184.0,16.089152709359606,86.11958310477236,3.7292206173850264,2025-01
