date,TRIMP,distance_km,duree_min,fc_moyenne,vitesse_moy,cadence_moy,CTL,ATL,TSB,semaine,annee,cluster,anomaly
2025-05-09,117.87,12.036,51.71666666666667,162.47696301103178,14.059239325113564,82.87719298245614,63.71,75.58,-11.87,19,2025,0,1
2025-05-13,51.32,5.829,23.28333333333333,160.9856938483548,15.0012,77.97622478386167,55.05,36.74,18.31,20,2025,2,1
2025-05-14,101.74,11.395,45.55,161.57534747622532,15.0012,80.82022058823529,57.22,52.99,4.23,20,2025,2,1
2025-05-15,178.75,26.132,120.58333333333331,143.8917910447761,12.9996,78.68722283813747,62.87,84.43,-21.56,20,2025,0,-1
2025-05-16,129.13,13.046,60.18333333333333,159.78543743078626,12.9996,80.70094496942745,65.95,95.61,-29.66,20,2025,0,1
2025-05-17,38.97,7.177,55.95,115.01178960096736,7.862188875453446,78.8707627118644,64.7,81.45,-16.75,20,2025,0,-1
2025-05-17,33.0,4.479,17.883333333333333,153.1731843575419,15.0012,81.27669902912622,63.22,69.34,-6.12,20,2025,2,1
2025-05-20,129.73,11.729,46.88333333333333,171.29921819474058,15.0012,80.15200286123033,60.84,61.68,-0.84,21,2025,2,1
2025-05-20,110.26,7.435,34.28333333333333,178.3148688046647,12.9996,80.0435847208619,63.14,73.83,-10.69,21,2025,2,1
2025-05-22,128.4,20.079,120.45,130.65260099612618,10.0008,79.62721729490022,63.37,73.63,-10.26,21,2025,0,-1
2025-05-26,101.63,12.004,44.98333333333333,162.08481481481482,15.9984,81.1515601783061,57.11,48.7,8.41,22,2025,2,1
2025-05-29,31.3,3.057,10.283333333333331,175.73300970873785,17.658576699029126,85.8961038961039,50.96,28.37,22.59,22,2025,2,-1
2025-05-30,82.7,10.857,40.68333333333333,157.3968058968059,15.9984,81.47787979966611,52.44,41.95,10.49,22,2025,2,1
2025-06-01,132.32,11.302,44.55,174.58624577226607,15.389354678692222,83.43695897628905,53.83,56.68,-2.85,22,2025,2,1
2025-06-01,44.02,3.559,16.483333333333334,169.66969696969696,12.86928,77.41277890466532,53.37,53.51,-0.14,22,2025,2,1
2025-06-02,71.63,9.991,46.083333333333336,145.87020968908172,12.9996,78.6815866084425,54.22,58.04,-3.82,23,2025,0,1
2025-06-05,14.61,2.134,9.816666666666666,144.0593220338983,12.9996,79.90068493150685,47.68,28.14,19.54,23,2025,1,1
2025-06-05,22.05,1.896,10.483333333333333,158.8939393939394,12.225351515151516,81.55555555555556,46.49,26.62,19.87,23,2025,1,1
2025-06-06,211.11,20.017,79.08333333333333,169.64854614412135,15.151196965865992,82.69097807757167,54.14,72.74,-18.6,23,2025,0,1
2025-06-07,93.15,9.76,45.016666666666666,158.17986676535898,12.9996,79.31892697466468,55.96,77.84,-21.88,23,2025,0,1
2025-06-08,49.39,4.516,20.95,163.99920508744037,13.072756120826709,83.94585987261146,55.65,70.73,-15.08,23,2025,2,1
2025-06-08,14.01,1.893,9.916666666666666,141.89093959731542,11.354925503355703,80.21283783783784,53.72,56.55,-2.83,23,2025,1,1
2025-06-08,55.95,5.868,23.816666666666663,163.83566433566435,14.77729006993007,83.00981767180926,53.82,56.4,-2.58,23,2025,2,1
2025-06-09,96.41,10.604,45.083333333333336,159.63525498891352,14.122310421286032,82.61658031088083,55.8,66.4,-10.6,24,2025,0,1
2025-06-09,66.91,7.471,34.45,155.39893617021278,12.9996,76.67853658536585,56.32,66.53,-10.21,24,2025,0,1
2025-06-11,42.79,5.095,20.35,158.8911620294599,15.001199999999995,81.55980066445183,53.19,48.12,5.07,24,2025,2,1
2025-06-12,21.96,2.4,10.65,158.025,13.624340625,81.68652037617555,51.74,41.58,10.16,24,2025,1,1
2025-06-12,26.16,2.862,10.783333333333331,165.29320987654322,16.141533333333335,82.80124223602485,50.55,37.73,12.82,24,2025,2,1
2025-06-13,46.61,4.842,20.75,161.8314606741573,13.953389085072232,81.73268921095008,50.37,39.95,10.42,24,2025,2,1
2025-06-16,127.37,12.012,45.016666666666666,172.3301258327165,16.026653737971873,83.94848035581913,49.58,48.69,0.89,25,2025,2,1
2025-06-17,29.98,4.344,20.016666666666666,144.3261231281198,12.9996,81.1258445945946,48.67,44.02,4.65,25,2025,1,1
2025-06-20,90.66,7.071,27.98333333333333,178.66190476190476,15.187755,84.32040572792363,46.41,41.23,5.18,25,2025,2,1
2025-06-20,48.59,3.681,15.35,177.5656894679696,14.310828664495114,83.9629225736096,46.51,43.07,3.44,25,2025,2,1
2025-06-20,74.28,7.454,29.78333333333333,166.5397091722595,15.0012,82.00225988700565,47.8,50.87,-3.07,25,2025,2,1
2025-06-21,86.56,9.825,45.31666666666667,154.67610294117648,12.9996,80.24464153732447,49.6,59.8,-10.2,25,2025,0,1
2025-06-22,42.94,5.391,24.85,150.35254691689008,12.9996,80.50807537012113,49.29,55.58,-6.29,25,2025,2,1
2025-06-24,96.97,8.108,33.38333333333333,173.5484194681385,14.651232313095836,82.92760180995475,49.33,55.51,-6.18,26,2025,2,1
2025-06-24,58.95,4.659,23.45,166.90536277602524,13.222007886435332,74.4248417721519,49.77,56.37,-6.6,26,2025,2,1
2025-06-24,24.42,2.653,11.55,159.13832853025937,13.627639193083573,83.85072463768115,48.59,48.38,0.21,26,2025,2,1
2025-07-01,158.12,3.777,66.21666666666667,164.57379310344828,9.29577351724138,73.67726330338631,42.17,45.99,-3.82,27,2025,1,1
2025-07-02,58.41,6.096,32.266666666666666,152.34558420186505,12.074988480526605,79.68609125893347,42.93,49.09,-6.16,27,2025,1,1
2025-07-05,27.06,3.13,14.416666666666666,153.90762124711316,12.9996,81.31529411764706,38.47,27.48,10.99,27,2025,1,1
2025-07-05,54.92,5.528,23.08333333333333,164.4054834054834,14.327275324675329,81.97250361794501,39.23,34.34,4.89,27,2025,2,1
2025-07-06,40.42,4.306,18.383333333333333,160.8713768115942,14.043851086956522,82.83454545454545,39.29,35.86,3.43,27,2025,2,1
2025-07-09,22.46,2.82,11.25,156.61094674556213,15.0012,82.32878787878788,35.1,20.74,14.36,28,2025,1,1
2025-07-09,56.29,4.506,49.6,133.09558823529412,13.230555882352942,65.7172131147541,36.09,29.63,6.46,28,2025,1,1
